2025-12-10 10:28:06 | INFO     | workers.CorePipelineStep4      | info                 | 🚀 Iniciando renombrado de archivos
2025-12-10 10:28:06 | INFO     | workers.CorePipelineStep4      | info                 | 📂 Carpeta de trabajo: C:/Users/ricuculm/OneDrive - Metso/Documents/Laboratorio/PruebaMatrix2
2025-12-10 10:28:06 | INFO     | workers.CorePipelineStep4      | info                 | 🔍 Buscando archivo JSON de renombrado...
2025-12-10 10:28:06 | ERROR    | workers.CorePipelineStep4      | error                | No se encontró archivo JSON de renombrado
2025-12-10 10:36:03 | INFO     | workers.CorePipelineStep4      | info                 | 🚀 Iniciando renombrado de archivos
2025-12-10 10:36:03 | INFO     | workers.CorePipelineStep4      | info                 | 📂 Carpeta de trabajo: C:/Users/ricuculm/OneDrive - Metso/Documents/Laboratorio/PruebaMatrix2
2025-12-10 10:36:03 | INFO     | workers.CorePipelineStep4      | info                 | 📂 Procesando: 1_Boletas
2025-12-10 10:36:03 | INFO     | workers.CorePipelineStep4      | info                 | ✅ JSON encontrado: rename_1_Boletas.json
2025-12-10 10:36:03 | INFO     | workers.CorePipelineStep4      | info                 | ✅ JSON cargado con encoding: latin-1
2025-12-10 10:36:03 | INFO     | workers.CorePipelineStep4      | info                 | ✅ 269 registros de renombrado cargados
2025-12-10 10:36:03 | INFO     | workers.CorePipelineStep4      | info                 |    📄 PDFs encontrados: 269
2025-12-10 10:36:03 | INFO     | workers.CorePipelineStep4      | info                 |    ✅ Completado: 269 renombrados, 0 omitidos, 0 errores
2025-12-10 10:36:03 | INFO     | workers.CorePipelineStep4      | info                 | 📂 Procesando: 2_Afp
2025-12-10 10:36:03 | INFO     | workers.CorePipelineStep4      | info                 | ✅ JSON encontrado: rename_2_Afp.json
2025-12-10 10:36:04 | INFO     | workers.CorePipelineStep4      | info                 | ✅ JSON cargado con encoding: latin-1
2025-12-10 10:36:04 | INFO     | workers.CorePipelineStep4      | info                 | ✅ 221 registros de renombrado cargados
2025-12-10 10:36:04 | INFO     | workers.CorePipelineStep4      | info                 |    📄 PDFs encontrados: 221
2025-12-10 10:36:04 | INFO     | workers.CorePipelineStep4      | info                 |    ✅ Completado: 221 renombrados, 0 omitidos, 0 errores
2025-12-10 10:36:04 | INFO     | workers.CorePipelineStep4      | info                 | 📂 Procesando: 3_5ta
2025-12-10 10:36:04 | INFO     | workers.CorePipelineStep4      | info                 | ✅ JSON encontrado: rename_3_5ta.json
2025-12-10 10:36:04 | INFO     | workers.CorePipelineStep4      | info                 | ✅ JSON cargado con encoding: latin-1
2025-12-10 10:36:04 | INFO     | workers.CorePipelineStep4      | info                 | ✅ 221 registros de renombrado cargados
2025-12-10 10:36:04 | INFO     | workers.CorePipelineStep4      | info                 |    📄 PDFs encontrados: 221
2025-12-10 10:36:05 | INFO     | workers.CorePipelineStep4      | info                 |    ✅ Completado: 221 renombrados, 0 omitidos, 0 errores
2025-12-10 10:36:05 | INFO     | workers.CorePipelineStep4      | info                 | ==================================================
2025-12-10 10:36:05 | INFO     | workers.CorePipelineStep4      | info                 | 📊 RESUMEN DEL RENOMBRADO
2025-12-10 10:36:05 | INFO     | workers.CorePipelineStep4      | info                 | ✅ Archivos renombrados: 711
2025-12-10 10:36:05 | WARNING  | workers.CorePipelineStep4      | warning              | ⭕️ Archivos omitidos: 0
2025-12-10 10:36:05 | ERROR    | workers.CorePipelineStep4      | error                | ❌ Errores: 0
2025-12-10 10:36:05 | INFO     | workers.CorePipelineStep4      | info                 | ⏱️ Tiempo transcurrido: 1.63s
2025-12-10 10:36:05 | INFO     | workers.CorePipelineStep4      | info                 | ==================================================
2025-12-10 10:36:05 | INFO     | workers.CorePipelineStep4      | info                 | 🎉 ¡Renombrado completado exitosamente!
2025-12-10 10:53:04 | INFO     | workers.CorePipelineStep5      | info                 | 🚀 Iniciando proceso de fusión por contratos
2025-12-10 10:53:04 | INFO     | workers.CorePipelineStep5      | info                 | 📂 Carpeta madre: C:/Users/ricuculm/OneDrive - Metso/Documents/Laboratorio/PruebaMatrix2
2025-12-10 10:53:05 | INFO     | workers.CorePipelineStep5      | info                 | 📋 [1/5] Validando estructura...
2025-12-10 10:53:05 | INFO     | workers.CorePipelineStep5      | info                 | ✅ Subcarpetas encontradas: 3
2025-12-10 10:53:05 | WARNING  | workers.CorePipelineStep5      | warning              | ⚠️ Subcarpetas faltantes: 4_Convocatoria, 5_CertificadosTrabajo
2025-12-10 10:53:05 | INFO     | workers.CorePipelineStep5      | info                 | 📋 [2/5] Copiando PDFs a carpeta temporal...
2025-12-10 10:53:05 | INFO     | workers.CorePipelineStep5      | info                 | Carpeta creada: Documentos_Procesar_10.12.2025_10.53.05
2025-12-10 10:53:05 | INFO     | workers.CorePipelineStep5      | info                 |   📁 1_Boletas: 269 PDFs
2025-12-10 10:53:06 | INFO     | workers.CorePipelineStep5      | info                 |   📁 2_Afp: 221 PDFs
2025-12-10 10:53:06 | INFO     | workers.CorePipelineStep5      | info                 |   📁 3_5ta: 221 PDFs
2025-12-10 10:53:07 | INFO     | workers.CorePipelineStep5      | info                 | ✅ PDFs copiados: 711
2025-12-10 10:53:07 | INFO     | workers.CorePipelineStep5      | info                 | 📋 [3/5] Analizando contratos...
2025-12-10 10:53:07 | INFO     | workers.CorePipelineStep5      | info                 | ✅ Contratos únicos: 273
2025-12-10 10:53:07 | INFO     | workers.CorePipelineStep5      | info                 | 📄 Total archivos: 711
2025-12-10 10:53:07 | INFO     | workers.CorePipelineStep5      | info                 | Diagnóstico guardado: diagnostico_merge_10.12.2025_10.53.05.json
2025-12-10 10:53:07 | INFO     | workers.CorePipelineStep5      | info                 | 📋 [4/5] Generando packs por contrato...
2025-12-10 10:53:07 | INFO     | workers.CorePipelineStep5      | info                 | Carpeta creada: Documentos_Enviar_10.12.2025_10.53.05
2025-12-10 10:53:07 | INFO     | workers.CorePipelineStep5      | info                 |   📦 [1/273] PACK_8351.pdf (3 docs)
2025-12-10 10:53:07 | INFO     | workers.CorePipelineStep5      | info                 |      ✅ Pack generado
2025-12-10 10:53:07 | INFO     | workers.CorePipelineStep5      | info                 |   📦 [2/273] PACK_8352.pdf (3 docs)
2025-12-10 10:53:07 | INFO     | workers.CorePipelineStep5      | info                 |      ✅ Pack generado
2025-12-10 10:53:07 | INFO     | workers.CorePipelineStep5      | info                 |   📦 [3/273] PACK_8353.pdf (3 docs)
2025-12-10 10:53:08 | INFO     | workers.CorePipelineStep5      | info                 |      ✅ Pack generado
2025-12-10 10:53:08 | INFO     | workers.CorePipelineStep5      | info                 |   📦 [4/273] PACK_8423.pdf (1 docs)
